"activity","type","Control summary-Main-begin editing","Control summary-Main-finish editing","Control summary-Main-initialize","Control summary-Main-save","Control summary-Main-take original document","Department control parcels-Main-begin editing","Department control parcels-Main-insert document","Department control parcels-Main-performed","Department control parcels-Main-save","Entitlement application-Change-begin editing","Entitlement application-Change-calculate","Entitlement application-Change-decide","Entitlement application-Change-finish editing","Entitlement application-Change-initialize","Entitlement application-Change-insert document","Entitlement application-Change-remove document","Entitlement application-Change-revoke decision","Entitlement application-Change-revoke withdrawal","Entitlement application-Change-withdraw","Entitlement application-Main-begin editing","Entitlement application-Main-calculate","Entitlement application-Main-decide","Entitlement application-Main-finish editing","Entitlement application-Main-initialize","Entitlement application-Main-insert document","Entitlement application-Main-mail valid","Entitlement application-Main-revoke decision","Entitlement application-Main-save","Entitlement application-Objection-approve","Entitlement application-Objection-begin admissibility check","Entitlement application-Objection-begin editing","Entitlement application-Objection-calculate","Entitlement application-Objection-check admissibility","Entitlement application-Objection-decide","Entitlement application-Objection-finish editing","Entitlement application-Objection-initialize","Entitlement application-Objection-insert document","Geo parcel document-Declared-begin editing","Geo parcel document-Declared-calculate","Geo parcel document-Declared-create","Geo parcel document-Declared-finish editing","Geo parcel document-Declared-finish pre-check","Geo parcel document-Declared-restart editing","Geo parcel document-Main-calculate protocol","Geo parcel document-Main-clear","Geo parcel document-Main-initialize","Geo parcel document-Main-insert document","Geo parcel document-Main-save","Geo parcel document-Reported-begin editing","Geo parcel document-Reported-calculate","Geo parcel document-Reported-finish editing","Geo parcel document-Reported-insert document","Inspection-On-Site-begin editing","Inspection-On-Site-begin preparations","Inspection-On-Site-cancel offline","Inspection-On-Site-finish editing","Inspection-On-Site-finish preparations","Inspection-On-Site-initialize","Inspection-On-Site-performed","Inspection-On-Site-performed offline","Inspection-On-Site-plan","Inspection-On-Site-prepare offline","Inspection-On-Site-save","Inspection-Remote-abort external","Inspection-Remote-begin editing","Inspection-Remote-begin preparations","Inspection-Remote-finish editing","Inspection-Remote-finish preparations","Inspection-Remote-initialize","Inspection-Remote-performed","Inspection-Remote-plan","Inspection-Remote-prepare external","Inspection-Remote-save","Parcel document-Main-begin editing","Parcel document-Main-check","Parcel document-Main-discard","Parcel document-Main-finish editing","Parcel document-Main-initialize","Parcel document-Main-insert document","Parcel document-Main-save","Payment application-Application-abort payment","Payment application-Application-begin editing","Payment application-Application-begin payment","Payment application-Application-calculate","Payment application-Application-decide","Payment application-Application-finish editing","Payment application-Application-finish payment","Payment application-Application-initialize","Payment application-Application-insert document","Payment application-Application-mail income","Payment application-Application-mail valid","Payment application-Application-remove document","Payment application-Application-revoke decision","Payment application-Change-abort payment","Payment application-Change-begin editing","Payment application-Change-begin payment","Payment application-Change-calculate","Payment application-Change-decide","Payment application-Change-finish editing","Payment application-Change-finish payment","Payment application-Change-initialize","Payment application-Change-insert document","Payment application-Main-insert document","Payment application-Main-remove document","Payment application-Main-save","Payment application-Objection-abort payment","Payment application-Objection-approve","Payment application-Objection-begin admissibility check","Payment application-Objection-begin editing","Payment application-Objection-begin editing from refused","Payment application-Objection-begin payment","Payment application-Objection-calculate","Payment application-Objection-check admissibility","Payment application-Objection-decide","Payment application-Objection-finish editing","Payment application-Objection-finish payment","Payment application-Objection-initialize","Payment application-Objection-insert document","Payment application-Objection-refuse","Reference alignment-Main-initialize","Reference alignment-Main-insert document","Reference alignment-Main-performed","Reference alignment-Main-remove document","Reference alignment-Main-save"
"Geo parcel document-Main-initialize","EFR_N","257","257","257","43","6","43","1","135","29","2","3","0","0","2","2","1","0","0","1","8","21","9","8","4","4","8","0","6","0","0","0","0","0","0","0","0","0","582","270","403","605","239","11","2","56","0","49","453","762","916","890","8","16","29","3","45","29","28","11","18","28","21","738","64","13","82","32","82","18","19","18","82","139","0","0","0","0","0","0","0","109","938","382","1818","414","1082","273","274","414","6","274","0","139","0","20","4","29","6","4","4","20","5","27","9","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","274","16","274","0","88"
"Geo parcel document-Main-initialize","EFR_S","||","||","||",">",">",">",">",">",">",">",">","","",">",">",">","","",">",">",">",">",">",">",">","<","",">","","","","","","","","","",">",">",">",">",">",">",">",">","",">",">",">",">",">",">",">",">",">",">",">","||",">",">","||",">","||","||",">","||",">","||","||",">","||","||","||","","","","","","","",">",">",">",">",">",">",">",">",">","||","<","",">","",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","",">",">",">","",">"
"Geo parcel document-Main-insert document","EFR_N","49","49","49","20","0","17","0","4","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","45","80","2","117","19","6","2","13","49","1","193","82","169","97","4","7","3","0","10","3","3","2","1","3","1","41","3","1","4","3","4","4","2","4","4","6","0","0","0","0","0","0","0","24","94","70","255","69","137","46","22","69","1","49","0","23","0","8","1","13","1","1","1","8","2","10","4","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","15","10","0","38"
"Geo parcel document-Main-insert document","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","||","||","||","||","||",">","<","<","@","||","||","||","||","||",">","||","","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","<","||","||","","","","","","","","||","||","||","||","||","||","||","||","||","||","<","","||","",">",">",">",">",">",">",">",">",">",">",">","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Main-save","EFR_N","1","1","1","154","2","155","0","95","120","7","9","0","0","7","7","2","0","0","5","26","39","31","26","5","9","18","0","9","0","0","0","0","0","0","0","0","0","402","726","11","1028","140","35","39","95","453","75","1404","789","1591","1019","50","91","31","3","125","31","27","16","16","27","19","771","22","7","28","23","28","56","16","56","28","46","0","0","0","0","0","0","0","185","863","613","2334","640","1241","428","218","656","2","453","0","212","0","93","21","164","25","21","21","93","34","109","32","68","0","0","0","0","0","0","0","0","0","0","0","0","0","0","102","119","102","0","280"
"Geo parcel document-Main-save","EFR_S","||","||","||","||",">","||","","||","||",">",">","","",">",">",">","","",">","||","||","||","||","||",">","<","",">","","","","","","","","","","||","||","||","||","||","||","||","<","<","||","@","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","<","||","||","","","","","","","","||","||","||","||","||","||","||","||","||","||","<","","||","","||",">","||",">",">",">","||",">","||",">",">","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Reported-begin editing","EFR_N","762","762","762","3","21","13","0","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","41","1223","59","8","4","6","297","762","15","204","1829","2669","2547","18","37","22","24","67","22","7","21","6","7","1","241","187","48","248","109","248","61","61","61","248","467","0","0","0","0","0","0","0","106","1716","845","2184","765","1819","739","762","1490","762","762","0","14","0","9","4","28","4","4","4","9","8","13","2","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","762","24","762","0","56"
"Geo parcel document-Reported-begin editing","EFR_S","<","<","<","<","||","||","","<","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","||","<","||","||","<",">","<","<","||","||","@","||","||","||","||","||","<","||","||","||","||","||","||","||","||","<","<","<","<","<","<","<","<","<","<","","","","","","","","||","||","||","||","||","||","||","<","||","<","<","","||","","||",">","||",">",">",">","||",">","||",">","||","","","","","","","","","","","","","","","<","||","<","","||"
"Geo parcel document-Reported-calculate","EFR_N","916","916","916","0","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","176","86","1489","193","2","0","0","411","916","24","584","2191","3058","3207","30","147","40","30","199","40","22","37","10","22","3","564","423","83","564","224","564","141","141","141","564","1080","0","0","0","0","0","0","0","137","1920","1047","2680","937","2134","910","3","1832","916","916","0","18","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","17","3","0","41"
"Geo parcel document-Reported-calculate","EFR_S","<","<","<","","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","||","<","||","||","","","<","<","||","||","||","@","||","||","||","||","<","||","||","||","||","||","||","||","||","<","<","<","<","<","<","<","<","<","<","","","","","","","",">","||",">","||","||","||",">","||",">","<","<","",">","","","","","","","","","","||","","||","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Reported-finish editing","EFR_N","26","26","26","0","27","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","161","34","137","131","55","0","0","42","890","17","190","2566","2705","2572","20","45","34","27","89","34","19","27","13","19","7","436","24","7","32","15","32","8","8","8","32","63","0","0","0","0","0","0","0","128","2129","1011","2685","913","2258","883","84","1780","3","890","0","16","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84","17","84","0","43"
"Geo parcel document-Reported-finish editing","EFR_S","||","||","||","","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","||","||","||","||","","","||","<","||","||","||","||","@","||","||","||","<","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","||","","","","","","","",">","||",">","||","||","||",">","||",">","||","<","",">","","","","","","","","","","||","","||","","","","","","","","","","","","","","","||","||","||","","||"
"Geo parcel document-Reported-insert document","EFR_N","8","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","6","11","1","16","0","0","1","8","1","13","19","30","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","8","23","9","18","8","8","16","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","8","0","0"
"Geo parcel document-Reported-insert document","EFR_S","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","<","<","||","<","","","<","<","||","||","||","||","||","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||",">","||",">","||",">","<",">","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","<","","<","",""
"Inspection-On-Site-begin editing","EFR_N","18","18","18","5","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7","10","2","8","1","0","4","0","1","0","0","0","0","0","0","0","0","0","8","6","38","9","23","0","0","16","16","7","25","20","58","32","0","13","3","3","36","3","3","4","19","3","22","58","51","2","67","2","67","16","16","16","67","2","2","1","0","2","2","1","2","10","11","28","36","20","34","18","2","30","18","18","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18","0","18","0","0"
"Inspection-On-Site-begin editing","EFR_S","<","<","<","||","","","","||","","","","","","","","","","","","||","||",">",">","||","","<","",">","","","","","","","","","","||","||","<","||","<","","","<","<","<","||","||","||","||","","@","||","<","||","||","||","||","<","||","<","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||","||","||",">","||",">","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","<","","<","",""
"Inspection-On-Site-begin preparations","EFR_N","41","41","41","38","0","11","0","6","2","0","0","0","0","0","0","0","0","0","0","40","61","11","40","8","0","24","0","6","0","0","0","0","0","0","0","0","0","21","12","1","21","2","0","0","19","29","4","50","70","162","78","0","23","8","3","71","8","6","21","27","6","30","946","92","4","121","4","121","29","29","29","121","4","12","3","0","9","12","3","9","26","57","66","180","53","87","40","22","48","41","41","0","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","7","0","8"
"Inspection-On-Site-begin preparations","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","<","||","||","||","||","||","","||","@",">","||","||","||",">","||","||","||","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","","<","","<","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-On-Site-cancel offline","EFR_N","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","3","3","3","0","0","0","3","0","6","24","30","27","0","3","3","3","6","3","3","0","3","3","6","42","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","3","12","6","9","3","3","6","3","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0"
"Inspection-On-Site-cancel offline","EFR_S","<","<","<","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","||","<","||","||","||","","","","<","","||",">",">",">","",">","<","@",">","<","<","",">","<","||","||","","","","","","","","","","","","","","","","","","",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","||","","||","",""
"Inspection-On-Site-finish editing","EFR_N","58","58","58","32","0","9","0","6","1","0","0","0","0","0","0","0","0","0","0","40","62","12","43","6","0","26","0","7","0","0","0","0","0","0","0","0","0","27","18","92","29","1","0","0","35","45","4","72","82","208","100","0","34","10","6","46","10","8","10","1","8","1","92","141","6","185","6","185","44","44","44","185","6","13","3","0","9","13","4","9","34","63","91","196","72","119","57","20","78","58","58","0","15","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","4","0","8"
"Inspection-On-Site-finish editing","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","<","||","||","","","<","<","||","||","||","||","||","","||","||","<","@","||","||","||","||","||","||","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||","||","||",">","||",">","<","<","",">","","","","","","","","","","<","","<","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-On-Site-finish preparations","EFR_N","41","41","41","38","0","11","0","6","2","0","0","0","0","0","0","0","0","0","0","40","61","11","40","8","0","24","0","6","0","0","0","0","0","0","0","0","0","21","12","1","21","2","0","0","19","29","4","50","70","162","78","0","23","49","3","71","8","6","21","27","6","30","1014","92","4","121","4","121","29","29","29","121","4","12","3","0","9","12","3","9","26","57","66","180","53","87","40","22","48","41","41","0","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","7","0","8"
"Inspection-On-Site-finish preparations","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","<","||","||","||","||","||","","||","||",">","||","@","||",">","||","||","||","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","","<","","<","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-On-Site-initialize","EFR_N","40","40","40","41","0","13","0","16","3","0","0","0","0","0","0","0","0","0","0","35","54","10","35","9","0","22","0","6","0","0","0","0","0","0","0","0","0","24","17","3","28","2","0","0","19","1","4","54","85","180","93","0","23","49","3","72","49","7","21","28","43","30","1202","53","15","68","38","68","10","16","10","68","108","11","7","0","14","11","6","15","24","64","63","195","52","86","39","34","48","40","40","0","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","1","23","0","11"
"Inspection-On-Site-initialize","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","||","||","||","||","||","||","","||","||",">","||","||","@",">","||","||","||","||","||","||","||","||","||","||","||","||","||","||","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-On-Site-performed","EFR_N","15","15","15","6","0","4","0","1","3","0","0","0","0","0","0","0","0","0","0","7","14","3","7","2","0","8","0","3","0","0","0","0","0","0","0","0","0","5","2","21","6","1","0","0","9","11","1","17","16","48","18","0","3","21","0","18","21","21","0","6","21","6","11","36","2","47","2","47","11","11","11","47","2","4","2","0","1","4","2","1","9","9","23","47","18","21","14","4","19","15","15","0","3","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","1","15","0","3"
"Inspection-On-Site-performed","EFR_S","<","<","<","||","","||","","||","<","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","<","||","||","","","<","<","||","||","||","||","||","","||","<","","||","<","<","","<","<","<","||","<","||","<","||","<","<","<","<","<","||","<","<","","||","<","<","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","","<","","<","","","","","","","","","","","","","","","<",">","<","","||"
"Inspection-On-Site-performed offline","EFR_N","25","25","25","21","0","5","0","5","1","0","0","0","0","0","0","0","0","0","0","26","38","7","28","3","0","14","0","3","0","0","0","0","0","0","0","0","0","14","10","33","15","21","0","0","10","18","3","32","49","107","54","0","19","7","3","51","7","5","6","1","5","1","102","54","2","71","2","71","17","17","17","71","2","7","2","0","6","7","3","6","15","45","40","123","34","65","25","16","29","25","25","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","5","0","5"
"Inspection-On-Site-performed offline","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||",">",">","||","","<","",">","","","","","","","","","","||","||","<","||","<","","","<","<","||","||","||","||","||","",">","||","<","||","||","||",">","@","||","||","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||",">",">",">","||",">","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","||","","||","","||"
"Inspection-On-Site-plan","EFR_N","40","40","40","41","0","13","0","16","3","0","0","0","0","0","0","0","0","0","0","35","54","10","35","9","0","22","0","6","0","0","0","0","0","0","0","0","0","24","17","3","28","2","0","0","19","1","4","54","85","180","93","0","23","49","3","72","49","11","21","28","7","30","1202","53","15","68","38","68","10","16","10","68","108","11","7","0","14","11","6","15","24","64","63","195","52","86","39","34","48","40","40","0","12","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","1","23","0","11"
"Inspection-On-Site-plan","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","||","||","||","||","||","||","","||","||",">","||","||","||",">","||","@","||","||","||","||","||","||","||","||","||","||","||","||","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-On-Site-prepare offline","EFR_N","28","28","28","23","0","6","0","5","1","0","0","0","0","0","0","0","0","0","0","28","40","7","28","6","0","14","0","3","0","0","0","0","0","0","0","0","0","20","10","3","18","3","0","0","10","21","3","38","78","144","87","0","22","7","6","57","7","6","6","29","6","7","957","54","2","71","2","71","17","17","17","71","2","7","2","0","7","7","3","7","15","53","43","140","40","74","28","20","35","28","28","0","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","7","0","5"
"Inspection-On-Site-prepare offline","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","",">",">",">",">","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","<","||","||","||","||","||","",">","||","||","||","||","||",">","||","||","@","||","<","||","<","||","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||",">",">",">","||",">","<","<","",">","","","","","","","","","","","","","","","","","","","","","","","","","","","||","","||","","||"
"Inspection-On-Site-save","EFR_N","1059","1059","1059","1489","0","519","0","400","24","0","0","0","0","0","0","0","0","0","0","1063","1911","319","1079","277","0","640","0","302","0","0","0","0","0","0","0","0","0","650","532","6","678","9","0","0","421","1","142","1389","1414","3585","1699","0","690","545","12","2126","477","268","386","971","268","170","30670","186","129","237","199","237","10","56","10","237","385","320","68","0","362","320","177","367","830","1835","1885","5842","1491","2663","1055","682","1092","1059","1059","0","434","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","297","5","297","0","577"
"Inspection-On-Site-save","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||","||","||","||","","<","",">","","","","","","","","","","||","||","||","||","||","","","<","||","||","||","||","||","||","","||","||","||","||","||","||","||","||","||","||","@","||","||","||","||","||","||","||","||","||","||","<","||","","||","<","||","||",">","||",">","||","||","||",">","||",">","<","<","",">","","","","","","","","","","||","","||","","","","","","","","","","","","","","","||",">","||","","||"
"Inspection-Remote-abort external","EFR_N","83","83","83","59","0","28","0","44","18","0","0","0","0","0","0","0","0","0","0","66","74","14","66","14","0","28","0","0","0","0","0","0","0","0","0","0","0","75","50","10","81","12","0","0","39","5","9","154","187","423","201","0","51","92","0","141","92","37","36","54","37","54","1926","106","51","189","134","189","83","83","83","189","244","14","10","0","16","14","8","20","43","166","123","502","115","213","80","83","108","83","83","0","32","0","0","0","0","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","83","5","83","0","21"
"Inspection-Remote-abort external","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","||","||","||","","","<","||","||","||",">",">","||","",">",">","",">",">","||",">",">","||",">","||","@",">","||",">","||","<",">","<","||","||","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-begin editing","EFR_N","15","15","15","5","0","4","0","1","4","0","0","0","0","0","0","0","0","0","0","5","6","2","5","1","0","4","0","0","0","0","0","0","0","0","0","0","0","4","3","25","6","2","0","0","6","13","1","16","48","83","45","0","10","13","0","23","13","2","5","8","2","8","184","51","2","66","17","66","15","15","15","66","26","2","1","0","2","2","1","2","6","19","20","51","19","31","14","10","22","15","15","0","4","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","2","15","0","2"
"Inspection-Remote-begin editing","EFR_S","<","<","<","||","","<","","||","<","","","","","","","","","","","||","||",">","||","||","","<","","","","","","","","","","","","||","||","<","||","||","","","<","<","||","||",">",">","||","","||","||","","||","||","||","||","||","||","||","||","<","@","<","||","<","<","<","<","<","||","<",">","","||","<",">",">",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","<",">","<","","||"
"Inspection-Remote-begin preparations","EFR_N","109","109","109","84","0","36","0","57","24","0","0","0","0","0","0","0","0","0","0","99","111","21","99","21","0","42","0","0","0","0","0","0","0","0","0","0","0","98","64","12","106","16","0","0","52","6","12","204","248","564","268","0","67","121","0","185","121","50","47","71","50","71","2496","189","66","189","175","209","109","109","109","271","320","21","15","0","24","21","12","30","59","211","164","642","148","270","105","109","140","109","109","0","39","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","6","109","0","27"
"Inspection-Remote-begin preparations","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","||","||","||","","","<","||","||","||",">",">","||","",">",">","",">",">","||",">",">","||",">","||","||",">","@",">","||","<",">","<","||","||","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-finish editing","EFR_N","41","41","41","28","0","7","0","4","5","0","0","0","0","0","0","0","0","0","0","38","43","9","38","8","0","18","0","0","0","0","0","0","0","0","0","0","0","17","11","61","20","3","0","0","19","32","3","56","109","224","112","0","26","42","0","67","42","7","16","25","7","25","735","134","17","175","17","175","41","41","41","175","26","9","4","0","8","9","3","8","22","58","61","185","52","88","39","30","54","41","41","0","11","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","3","41","0","6"
"Inspection-Remote-finish editing","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","","||","||",">","||","||","","<","","","","","","","","","","","","||","||","<","||","||","","","<","<","||","||",">",">","||","","||","||","","||","||","||","||","||","||","||","||","<","||","<","@","<","<","<","<","<","||","<","||","","||","<","||","||",">","||",">","||",">","||",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","<",">","<","","||"
"Inspection-Remote-finish preparations","EFR_N","109","109","109","84","0","36","0","57","24","0","0","0","0","0","0","0","0","0","0","99","111","21","99","21","0","42","0","0","0","0","0","0","0","0","0","0","0","98","64","12","106","16","0","0","52","6","12","204","248","564","268","0","67","121","0","185","121","50","47","71","50","71","2496","189","66","278","175","189","109","109","109","279","320","21","15","0","24","21","12","30","59","211","164","642","148","270","105","109","140","109","109","0","39","0","0","0","0","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","109","6","109","0","27"
"Inspection-Remote-finish preparations","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","||","||","||","","","<","||","||","||",">",">","||","",">",">","",">",">","||",">",">","||",">","||","||",">","||",">","@","<",">","<","||","||","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-initialize","EFR_N","26","26","26","25","0","8","0","13","6","0","0","0","0","0","0","0","0","0","0","33","37","7","33","7","0","14","0","0","0","0","0","0","0","0","0","0","0","23","21","2","34","6","0","0","13","1","4","56","61","141","67","0","16","29","0","44","29","18","11","17","18","17","611","83","15","109","41","109","0","26","19","109","178","7","6","0","9","7","4","10","16","45","41","140","33","57","25","26","32","26","26","0","7","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","1","26","0","6"
"Inspection-Remote-initialize","EFR_S","<","<","<",">","",">","",">",">","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||",">","||","||","||","","","<","||",">",">",">",">","||","",">",">","",">",">","||",">",">","||",">","||",">",">",">",">",">","",">","||",">",">","<","||","","||","<",">","||",">",">",">",">",">",">",">",">",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","",">",">",">","",">"
"Inspection-Remote-performed","EFR_N","26","26","26","23","0","7","0","3","5","0","0","0","0","0","0","0","0","0","0","33","37","7","33","7","0","14","0","0","0","0","0","0","0","0","0","0","0","13","8","36","14","1","0","0","13","19","2","40","61","141","67","0","16","29","0","44","29","12","11","17","12","17","565","83","15","109","41","109","26","0","26","109","24","7","3","0","6","7","2","6","16","39","41","134","33","57","25","20","32","26","26","0","7","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","1","26","0","4"
"Inspection-Remote-performed","EFR_S","<","<","<","||","","||","","||","||","","","","","","","","","","",">",">",">",">",">","","<","","","","","","","","","","","","||","||","<","||","||","","","<","<","||","||",">",">","||","",">",">","",">",">","||",">",">","||",">","||","<",">","<",">","<","<","","<","<","||","<","||","","||","<","||","||",">","||",">","||",">",">",">","||",">","<","<","",">","","","","","","","","","",">","",">","","","","","","","","","","","","","","","<",">","<","","||"
